title,price,rating,reviews,availability
"uppercase Matrix Professional Anti-theft Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty",,4.0 out of 5 stars,13 ratings,In stock
"uppercase SealPro Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers & Anti-theft for Men, Women, Boys and Girls, 750 Days warranty",,4.9 out of 5 stars,23 ratings,In stock
American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK),,4.0 out of 5 stars,"52,349 ratings",In stock
Skybags Brat Black 46 Cms Casual Backpack,,4.1 out of 5 stars,"3,791 ratings",In stock
Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),,4.3 out of 5 stars,"9,840 ratings",In stock
Kuber Industries Women's Handkerchief Set (Cream),,3.8 out of 5 stars,482 ratings,In stock
Fiesto Fashion PU Leather Handbags With Sling Bag For Women Large Shoulder Tote Purse Top Handle Satchel (Combo Of 3),,3.9 out of 5 stars,"4,105 ratings",In stock
ADISA women girls embroided sling bag,,4.2 out of 5 stars,"1,428 ratings",In stock
Lapis O Lupo Women Vegan Leather Handbags Flower Embroidered Bags Fashion Satchel Bags Top Handle,,4.2 out of 5 stars,"3,630 ratings",In stock
ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue),,3.9 out of 5 stars,573 ratings,In stock
Lavie Sport Lino Large Size 63 cms Wheel Duffle Bag for Travel | Travel Bag with Trolley,,3.9 out of 5 stars,"6,332 ratings",In stock
Gear CarryOn 16L Foldable Water Resistant School Bag//Backpack/College Bag for Men/Women - Blue Black,,3.7 out of 5 stars,"6,062 ratings",In stock
"Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L, Charcoal black",,4.3 out of 5 stars,"9,840 ratings",In stock
SAFARI 15 Ltrs Sea Blue Casual/School/College Backpack (DAYPACKNEO15CBSEB),,4.0 out of 5 stars,"18,034 ratings",In stock
